No,名称,よみ,別名,別名よみ,山脈,標高,緯度,経度,都道府県,山域,備考
1038,硫黄岳,いおうだけ,,,,704,30.79305556,130.3052778,鹿児島県,大隅諸島（薩摩硫黄島）,
1039,櫓岳,やぐらだけ,,,,622,30.82833333,129.9375,鹿児島県,大隅諸島（黒島）,
1040,古岳,ふるだけ,,,,657,30.44333333,130.2172222,鹿児島県,大隅諸島（口永良部島）,
1041,宮之浦岳,みやのうらだけ,,,,1936,30.33611111,130.5041667,鹿児島県,屋久島,日本百名山
1042,永田岳,ながただけ,,,,1886,30.34277778,130.4925,鹿児島県,屋久島,
1043,モッチョム岳,もっちょむだけ,,,,940,30.25666667,130.5641667,鹿児島県,屋久島,
1044,前岳,まえだけ,,,,628,29.96805556,129.9255556,鹿児島県,吐☓喇列島（口之島）,
1045,御岳,おんたけ,,,,979,29.85916667,129.8569444,鹿児島県,吐☓喇列島（中之島）,
1046,御岳,おたけ,,,,497,29.90305556,129.5416667,鹿児島県,吐☓喇列島（臥蛇島）,
1047,御岳,おたけ,,,,796,29.63833333,129.7138889,鹿児島県,吐☓喇列島（諏訪之瀬島）,
1048,御岳,みたけ,,,,584,29.465,129.5947222,鹿児島県,吐☓喇列島（悪石島）,
1049,イマキラ岳,いまきらだけ,,,,292,29.14444444,129.2080556,鹿児島県,吐☓喇列島（宝島）,
1050,横当島,よこあてじま,,,,495,28.80083333,128.9947222,鹿児島県,吐☓喇列島（横当島）,
1051,湯湾岳,ゆわんだけ,,,,694,28.29611111,129.3211111,鹿児島県,奄美群島（奄美大島）,
1052,井之川岳,いのかわだけ,,,,645,27.77861111,128.9830556,鹿児島県,奄美群島（徳之島）,
1053,大山,おおやま,,,,240,27.36916667,128.5666667,鹿児島県,奄美群島（沖永良部島）,
1054,与那覇岳,よなはだけ,,,,503,26.71694444,128.2186111,沖縄県,沖縄島,
1055,八重岳,やえだけ,,,,453,26.63555556,127.9283333,沖縄県,沖縄島,
1056,恩納岳,おんなだけ,,,,363,26.47944444,127.8747222,沖縄県,沖縄島,
1057,於茂登岳,おもとだけ,,,,526,24.42722222,124.1833333,沖縄県,八重山列島（石垣島）,
1058,古見岳,こみだけ,,,,469,24.35916667,123.8911111,沖縄県,八重山列島（西表島）,
1059,宇良部岳,うらぶだけ,,,,231,24.45277778,123.0055556,沖縄県,八重山列島（与那国島）,
